Char Violet "Violet Light"
Pose violet cocky "Textures/Portraits/violet_confused"
Pose Violet neutral "Textures/Portraits/violet_neutral"
Pose Violet excited "Textures/Portraits/violet_excited"
Pose Violet confused "Textures/Portraits/violet_confused"
Pose Violet happy "Textures/Portraits/violet_happy"
Pose violet nervous "Textures/Portraits/violet_happy"
Pose Violet normal "Textures/Portraits/violet_neutral"
Pose Violet smirk "Textures/Portraits/violet_neutral"
Pose Violet shocked "Textures/Portraits/violet_neutral"
Pose Violet surprised "Textures/Portraits/violet_neutral"
Pose Violet shrug "Textures/Portraits/violet_neutral"
Pose Violet unimpressed "Textures/Portraits/violet_neutral"
Pose Violet tired "Textures/Portraits/violet_neutral"
Pose Violet thinking "Textures/Portraits/violet_neutral"
Pose Violet puzzled "Textures/Portraits/violet_confused"
Pose Violet ashamed "Textures/Portraits/violet_neutral"
Pose Violet upset "Textures/Portraits/violet_neutral"
Pose Violet determined "Textures/Portraits/violet_neutral"
Pose Violet serious "Textures/Portraits/violet_neutral"
Pose Violet explaining "Textures/Portraits/violet_neutral"
Char Alexander "Alexander Strong"
Pose Alexander neutral "Textures/Portraits/alexander_neutral"
Pose Alexander UpsideDown "Textures/Portraits/alexander_upsidedown"
Pose Alexander unimpressed "Textures/Portraits/alexander_upsidedown"
Pose Alexander surprised "Textures/Portraits/alexander_upsidedown"
Pose Alexander normal "Textures/Portraits/alexander_upsidedown"
Pose Alexander smirk "Textures/Portraits/alexander_upsidedown"
Pose Alexander cocky "Textures/Portraits/alexander_upsidedown"
Pose Alexander shocked "Textures/Portraits/alexander_upsidedown"
Pose Alexander shrug "Textures/Portraits/alexander_upsidedown"
Pose Alexander tired "Textures/Portraits/alexander_upsidedown"
Pose Alexander think "Textures/Portraits/alexander_upsidedown"
Pose Alexander puzzled "Textures/Portraits/alexander_upsidedown"
Pose Alexander ashamed "Textures/Portraits/alexander_upsidedown"
Pose Alexander scribbling "Textures/Portraits/alexander_upsidedown"
Pose Alexander upset "Textures/Portraits/alexander_upsidedown"
Pose Alexander nervous "Textures/Portraits/alexander_upsidedown"
Pose Alexander determined "Textures/Portraits/alexander_upsidedown"
Pose Alexander serious "Textures/Portraits/alexander_upsidedown"
Pose Alexander explaining "Textures/Portraits/alexander_upsidedown"
Char Sharp "Detective Sharpe"
Pose Sharp neutral "Textures/Portraits/sharp_neutral"
Pose Sharp cocky "Textures/Portraits/sharp_neutral"
Pose Sharp thinking "Textures/Portraits/sharp_neutral"
Pose sharp surprised "Textures/Portraits/sharp_neutral"
Pose sharp nervous "Textures/Portraits/sharp_neutral"
Pose Sharp normal "Textures/Portraits/sharp_neutral"
Pose Sharp smirk "Textures/Portraits/sharp_neutral"
Pose Sharp shocked "Textures/Portraits/sharp_neutral"
Pose Sharp shrug "Textures/Portraits/sharp_neutral"
Pose Sharp unimpressed "Textures/Portraits/sharp_neutral"
Pose Sharp tired "Textures/Portraits/sharp_neutral"
Pose Sharp ashamed "Textures/Portraits/sharp_neutral"
Pose Sharp upset "Textures/Portraits/sharp_neutral"
Pose Sharp determined "Textures/Portraits/sharp_neutral"
Pose Sharp serious "Textures/Portraits/sharp_neutral"
Pose Sharp posing "Textures/Portraits/sharp_neutral"
Pose Sharp explaining "Textures/Portraits/sharp_neutral"
Char Policeman "Police Officer"
Pose Policeman neutral "Textures/Portraits/police_neutral"
Char Fisher "Fisherman"
Pose Fisher neutral "Textures/Portraits/fisher_neutral"
Char Harmony "Harmony Rush"
Pose Harmony neutral "Textures/Portraits/harmony_neutral"
Pose Harmony ashamed "Textures/Portraits/harmony_neutral"
Pose Harmony nervous "Textures/Portraits/harmony_neutral"
Pose Harmony sad "Textures/Portraits/harmony_neutral"
Pose Harmony determined "Textures/Portraits/harmony_neutral"
